,pure_tweet,toxic
0,guys people in sweden are now inserting microchips in their hands with their covid passports on it they scan their,0
2,defense secretary lloyd austin has rejected oklahomas request to exempt the states national guard members from the pent,0
3,antivaccine christian broadcaster marcus lamb dies at age after contracting covid,0
4,federal judge blocks bidens covid vaccine mandate for health care workers,0
6,so having covid after vax is acceptable but covid unvaxxed is not socially acceptable,0
7,covid is the first thing lebrons ever got from china that wasnt made by slaves,0
8,lebron james has entered the nbas coronavirus health and safety protocols it is unclear whether he has tested positive for c,0
10,we all owe south africa a thank you and an apology,0
11,so does the covid vaccine,0
12,never forget droz pushed for hydroxycholoquine as a cureall for covid which it is not he helped keep the medicat,0
13,all omicron covid cases found in scotland linked to single private event days ago none of the people had r,0
14,im convinced i have covid bc i cant taste a goddamn thing,0
15,eventually covid is just gonna be an arg that a couple thousand people still play in each country and everyone els,0
16,preliminary report of omicron says omicron is x more transmissible than delta amp unvaccinated have x greater risk of,0
17,nah no camps yet shell start with yellow stars first unbelievable you,0
18,slave owner sympathizers get what they deserve,0
19,to read more vohglobal laos health covid efficacy sputniklightvaccine covid,0
20,in light of the fact that omicronisairborne because all variants are airborne hand washing is not that important for c,0
21,australias covid vaccinations covidvic covidnsw covidwa sahealth covidqld covidtas,0
22,lebron james forced to isolate under nba covid protocols reports suggest positive or inconclusive test,0
23,we need to move forward with action theres been a lot of talk a lot of studying the system and now is the t,0
25,durwanda kamuzinzi freddy director of tour du rwanda we are proud that we did the tour du rwanda many races were cancell,0
26,so having covid after vax is acceptable but covid unvaxxed is not socially acceptable,0
27,how south african researchers identified the omicron variant ofcovid,0
28,omicron coronavirus variant puts the world onedge,0
29,there were no covidrelated deaths yesterday in new york city where the vaccination rate is over,0
30,from today negative covid test report and seven days quarantine mandatory for international travellers to india,0
31,omicron the next transformers movie and its coming to a theater near you if we dont stop it covid omicron https,0
34,what do you think of this from sa i want to give them a big shoutout and say well freaken done a,0
35,the rich world placed a big bet on vaccines but the flaw in that gamble became clear as the new omicron variant spread,0
36,she might be covid positive,0
37,michigan wolverines head football coach jim harbaugh will donate the bonus money hell earn this season to employees of the athlet,0
38,i never ever scan qr codes at restaurants i always request paper menus just a weird gut feeling i have about how it wa,0
39,cms mandates are on hold nationwide after todays federal ruling in louisiana a lot of our neighbors can breath a bit e,0
40,covid backlash europes populists eye opportunity in neverending pandemic vixc,0
41,the world health organisationwho has said people who are unwell or vulnerable should delay travel to covid hotspo,0
42,that didnt take long,0
43,the right wing cultists want cuomo fired and yet remain silent over hannity and carlson helping to kill americans with lies,0
44,called covid warriors gave zero allowance maximum fee and zero risk allowance reduceacademicfees unpaidcovidallowance,0
45,covid summary for november compared to oct in november cases decreased by deaths increased by tests d,0
46,for the third straight month the philippines has the lowest ranking in bloombergs covid resilience report painting a wor,0
48,issuing travel bans against african countries is far more punitive than protective its darkly ironic that the coun,0
49,breaking nigeria confirms two cases of omicron variant the nigeria centre for disease control says two,0
50,remember when most early nyc covid cases came from europe but the us government banned travel from asia instead,0
51,og we know,0
52,when will they learn a vaccine is free and although you can still contract covid with the vaccine youre more likely to,0
53,people still think unvaccinated means currently infected with covid and vaccinated means not currently infected wi,0
54,check out maharashtra govt issues new guidelines for air travel in view of covid variant omicron,0
55,moderna and pfizer are covid companies they need covid to remain profitable without covid moderna is down,0
56,and then after sometime something asked me to go and check again and when i did itwas positive thank you jesus my,0
58,im not interested in hearing a single word of covid restrictions from leftist politicians who kept the southern border wi,0
59,we all owe south africa a thank you and an apology,0
61,lockdowndeaths will outpace coviddeaths many times over lockdowns only cause harm and only delay infection nomorelock,0
62,washington wjla ampmdash families at a popup covid clinic in southeast washington got a surprise as former pre,0
